Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-07-26,Midsommar,2019,https://letterboxd.com/jackreid/film/midsommar/,4,,,2019-07-04
2019-07-26,Toy Story 4,2019,https://letterboxd.com/jackreid/film/toy-story-4/,3,,,2019-07-11
2019-07-25,Black Mirror: Smithereens,2019,https://letterboxd.com/jackreid/film/black-mirror-smithereens/,3,,,2019-07-22
2019-07-25,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://letterboxd.com/jackreid/film/black-mirror-rachel-jack-and-ashley-too/,2.5,,,2019-07-24
2019-07-26,Long Shot,2019,https://letterboxd.com/jackreid/film/long-shot-2019/,2,,,2019-07-25
2019-08-01,Do the Right Thing,1989,https://letterboxd.com/jackreid/film/do-the-right-thing/,4,Yes,,2019-07-31
2019-08-05,Locke,2013,https://letterboxd.com/jackreid/film/locke/,3.5,Yes,,2019-08-04
2019-08-10,Euphoria,2019,,3,,,2019-08-09
2019-09-07,The Town,2010,https://letterboxd.com/jackreid/film/the-town/,3.5,,,2019-08-23
2019-09-01,Mary Queen of Scots,2018,https://letterboxd.com/jackreid/film/mary-queen-of-scots-2018/,2.5,,,2019-08-30
2019-09-02,The Souvenir,2019,https://letterboxd.com/jackreid/film/the-souvenir/,3,,,2019-09-01
2019-09-07,Her Smell,2018,https://letterboxd.com/jackreid/film/her-smell/,3,,,2019-09-06
2019-09-15,Shoplifters,2018,https://letterboxd.com/jackreid/film/shoplifters/,3.5,,,2019-09-14
2019-09-17,Blade Runner 2049,2017,https://letterboxd.com/jackreid/film/blade-runner-2049/,4,Yes,,2019-09-16
2019-09-22,First Man,2018,https://letterboxd.com/jackreid/film/first-man/,3.5,Yes,,2019-09-21
2019-09-23,Zero Dark Thirty,2012,https://letterboxd.com/jackreid/film/zero-dark-thirty/,,Yes,,2019-09-22
2019-10-09,Joker,2019,https://letterboxd.com/jackreid/film/joker-2019/,,,,2019-10-08
2019-10-11,Peterloo,2018,https://letterboxd.com/jackreid/film/peterloo/,,,,2019-10-10
2019-10-19,The Art of Self-Defense,2019,https://letterboxd.com/jackreid/film/the-art-of-self-defense-2019/,,,,2019-10-18
2019-10-24,The Laundromat,2019,https://letterboxd.com/jackreid/film/the-laundromat-2019/,,,,2019-10-22
2019-10-25,Us,2019,https://letterboxd.com/jackreid/film/us-2019/,,,,2019-10-23
2019-10-27,Dunkirk,2017,https://letterboxd.com/jackreid/film/dunkirk-2017/,,Yes,,2019-10-26
2019-11-02,The King,2019,https://letterboxd.com/jackreid/film/the-king-2019/,,,,2019-11-01
2019-12-18,Knives Out,2019,https://letterboxd.com/jackreid/film/knives-out-2019/,,,,2019-11-28
2019-12-18,The Irishman,2019,https://letterboxd.com/jackreid/film/the-irishman-2019/,,,,2019-12-16
2019-12-21,Marriage Story,2019,https://letterboxd.com/jackreid/film/marriage-story-2019/,,,,2019-12-19
2019-12-21,All Is True,2018,https://letterboxd.com/jackreid/film/all-is-true/,,,,2019-12-20
2019-12-21,Booksmart,2019,https://letterboxd.com/jackreid/film/booksmart/,,,,2019-12-20
2019-12-23,Paddington 2,2017,https://letterboxd.com/jackreid/film/paddington-2/,,Yes,,2019-12-22
2019-12-24,The Two Popes,2019,https://letterboxd.com/jackreid/film/the-two-popes/,,,,2019-12-23
2019-12-29,Little Women,2019,https://letterboxd.com/jackreid/film/little-women-2019/,,,,2019-12-28
2019-12-30,Ad Astra,2019,https://letterboxd.com/jackreid/film/ad-astra-2019/,,,,2019-12-29
2019-12-30,A Private War,2018,https://letterboxd.com/jackreid/film/a-private-war/,,,,2019-12-29
2019-12-30,John Mulaney & The Sack Lunch Bunch,2019,https://letterboxd.com/jackreid/film/john-mulaney-the-sack-lunch-bunch/,,,,2019-12-29
2019-12-31,The Happy Prince,2018,https://letterboxd.com/jackreid/film/the-happy-prince-2018/,,,,2019-12-30
2019-12-31,The Talented Mr. Ripley,1999,https://letterboxd.com/jackreid/film/the-talented-mr-ripley/,,Yes,,2019-12-30
2019-12-31,Pawn Sacrifice,2014,https://letterboxd.com/jackreid/film/pawn-sacrifice/,,,,2019-12-30
2020-01-01,Klaus,2019,https://letterboxd.com/jackreid/film/klaus/,,,,2019-12-31
2020-01-01,Jojo Rabbit,2019,https://letterboxd.com/jackreid/film/jojo-rabbit/,,,,2019-12-31
2020-01-04,Parasite,2019,https://letterboxd.com/jackreid/film/parasite-2019/,,,,2020-01-02
2020-01-05,Hustlers,2019,https://letterboxd.com/jackreid/film/hustlers-2019/,,,,2020-01-04
2020-01-12,Star Wars: The Rise of Skywalker,2019,https://letterboxd.com/jackreid/film/star-wars-the-rise-of-skywalker/,,,,2020-01-08
2020-01-13,1917,2019,https://letterboxd.com/jackreid/film/1917/,,,,2020-01-12
