
Date,Name,Tags,URL,Description
2019-07-23,Let's Watch July '19,,https://letterboxd.com/jackreid/list/lets-watch-july-19/,

Position,Name,Year,URL,Description
1,Wind River,2017,https://letterboxd.com/film/wind-river-2017/,
2,Hereditary,2018,https://letterboxd.com/film/hereditary/,
3,Stand by Me,1986,https://letterboxd.com/film/stand-by-me/,
4,Strictly Ballroom,1992,https://letterboxd.com/film/strictly-ballroom/,
5,The Witch,2015,https://letterboxd.com/film/the-witch-2015/,
6,Booksmart,2019,https://letterboxd.com/film/booksmart/,
7,Us,2019,https://letterboxd.com/film/us-2019/,
8,Cold War,2018,https://letterboxd.com/film/cold-war-2018/,
9,Ratatouille,2007,https://letterboxd.com/film/ratatouille/,
10,Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/,
11,Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/,
12,Locke,2013,https://letterboxd.com/film/locke/,
13,Do the Right Thing,1989,https://letterboxd.com/film/do-the-right-thing/,
