Date,Name,Year,Letterboxd URI
2019-05-29,Suspiria,2018,https://letterboxd.com/film/suspiria-2018/
2019-05-29,Y Tu Mamá También,2001,https://letterboxd.com/film/y-tu-mama-tambien/
2019-05-29,A Single Man,2009,https://letterboxd.com/film/a-single-man/
2019-05-29,Frances Ha,2012,https://letterboxd.com/film/frances-ha/
2019-05-29,First Reformed,2017,https://letterboxd.com/film/first-reformed/
2019-05-29,"Salò, or the 120 Days of Sodom",1975,https://letterboxd.com/film/salo-or-the-120-days-of-sodom/
2019-05-29,Only God Forgives,2013,https://letterboxd.com/film/only-god-forgives/
2019-05-29,The Neon Demon,2016,https://letterboxd.com/film/the-neon-demon/
2019-05-29,Apollo 11,2019,https://letterboxd.com/film/apollo-11-2019/
2019-05-29,The Lighthouse,2019,https://letterboxd.com/film/the-lighthouse-2019/
2019-05-29,Once Upon a Time… in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
2019-05-29,A Most Violent Year,2014,https://letterboxd.com/film/a-most-violent-year/
2019-05-29,Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
2019-05-29,Inland Empire,2006,https://letterboxd.com/film/inland-empire/
2019-05-29,The Lure,2015,https://letterboxd.com/film/the-lure/
2019-07-23,Hereditary,2018,https://letterboxd.com/film/hereditary/
2019-07-23,Stand by Me,1986,https://letterboxd.com/film/stand-by-me/
2019-07-23,Strictly Ballroom,1992,https://letterboxd.com/film/strictly-ballroom/
2019-07-23,The Witch,2015,https://letterboxd.com/film/the-witch-2015/
2019-07-23,It Chapter Two,2019,https://letterboxd.com/film/it-chapter-two/
2019-07-23,The Godfather,1972,https://letterboxd.com/film/the-godfather/
2019-07-23,A Few Good Men,1992,https://letterboxd.com/film/a-few-good-men/
2019-07-23,The Firm,1993,https://letterboxd.com/film/the-firm-1993/
2019-07-23,Creed,2015,https://letterboxd.com/film/creed/
2019-07-23,Dazed and Confused,1993,https://letterboxd.com/film/dazed-and-confused/
2019-07-23,The Warriors,1979,https://letterboxd.com/film/the-warriors/
2019-07-23,Trafic,1971,https://letterboxd.com/film/trafic/
2019-07-23,High Life,2018,https://letterboxd.com/film/high-life-2018/
2019-07-23,Cold War,2018,https://letterboxd.com/film/cold-war-2018/
2019-07-23,If Beale Street Could Talk,2018,https://letterboxd.com/film/if-beale-street-could-talk/
2019-07-23,The Act of Killing,2012,https://letterboxd.com/film/the-act-of-killing/
2019-07-23,Toni Erdmann,2016,https://letterboxd.com/film/toni-erdmann/
2019-07-23,Madeline's Madeline,2018,https://letterboxd.com/film/madelines-madeline/
2019-07-23,Tangerine,2015,https://letterboxd.com/film/tangerine/
2019-07-23,Somewhere,2010,https://letterboxd.com/film/somewhere/
2019-07-23,Dogtooth,2009,https://letterboxd.com/film/dogtooth/
2019-07-23,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/
2019-07-23,Stuber,2019,https://letterboxd.com/film/stuber/
2019-07-23,Rashomon,1950,https://letterboxd.com/film/rashomon/
2019-07-23,Lawrence of Arabia,1962,https://letterboxd.com/film/lawrence-of-arabia/
2019-07-23,On the Waterfront,1954,https://letterboxd.com/film/on-the-waterfront/
2019-07-23,La Dolce Vita,1960,https://letterboxd.com/film/la-dolce-vita/
2019-07-23,The Godfather: Part II,1974,https://letterboxd.com/film/the-godfather-part-ii/
2019-07-23,Marathon Man,1976,https://letterboxd.com/film/marathon-man/
2019-07-23,Swiss Army Man,2016,https://letterboxd.com/film/swiss-army-man/
2019-07-23,Ma,2019,https://letterboxd.com/film/ma-2019/
2019-07-23,Dumplin',2018,https://letterboxd.com/film/dumplin/
2019-07-23,Mid90s,2018,https://letterboxd.com/film/mid90s/
2019-07-23,Beautiful Boy,2018,https://letterboxd.com/film/beautiful-boy-2018/
2019-07-23,The Hunchback of Notre Dame,1996,https://letterboxd.com/film/the-hunchback-of-notre-dame-1996/
2019-07-23,Atlantis: The Lost Empire,2001,https://letterboxd.com/film/atlantis-the-lost-empire/
2019-07-23,Enemy,2013,https://letterboxd.com/film/enemy/
2019-07-23,"The Good, the Bad and the Ugly",1966,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
2019-07-23,In Fabric,2018,https://letterboxd.com/film/in-fabric/
2019-07-26,Breaking the Waves,1996,https://letterboxd.com/film/breaking-the-waves/
2019-08-01,Little Monsters,2019,https://letterboxd.com/film/little-monsters-2019/
2019-08-09,Honey Boy,2019,https://letterboxd.com/film/honey-boy/
2019-08-13,Prospect,2018,https://letterboxd.com/film/prospect-2018/
2019-08-20,The Death of Dick Long,2019,https://letterboxd.com/film/the-death-of-dick-long/
2019-08-21,Luce,2019,https://letterboxd.com/film/luce/
2019-08-21,The Last Black Man in San Francisco,2019,https://letterboxd.com/film/the-last-black-man-in-san-francisco/
2019-09-03,Lucy in the Sky,2019,https://letterboxd.com/film/lucy-in-the-sky/
2019-09-06,Official Secrets,2019,https://letterboxd.com/film/official-secrets/
2019-09-23,Dark Waters,2019,https://letterboxd.com/film/dark-waters-2019/
2019-09-23,The Rhythm Section,2020,https://letterboxd.com/film/the-rhythm-section/
2019-09-23,We Own the Night,2007,https://letterboxd.com/film/we-own-the-night/
2019-09-23,Last Train Home,2009,https://letterboxd.com/film/last-train-home/
2019-09-30,Patch Adams,1998,https://letterboxd.com/film/patch-adams/
2019-10-01,Withnail & I,1987,https://letterboxd.com/film/withnail-i/
2019-10-02,Hard Eight,1996,https://letterboxd.com/film/hard-eight/
2019-10-02,La Belle Noiseuse,1991,https://letterboxd.com/film/la-belle-noiseuse/
2019-10-25,The Girl with All the Gifts,2016,https://letterboxd.com/film/the-girl-with-all-the-gifts/
2019-12-23,Predestination,2014,https://letterboxd.com/film/predestination/
2020-01-22,Holy Motors,2012,https://letterboxd.com/film/holy-motors/
